texto,categoria
"Este documento presenta el Modelo Academico que guoa el régimen pedagógico y organizacional de la Universidad San Francisco Xavier. Establece los principios, objetivos y estructuras que orientan la educación universitaria hacia un enfoque humanista y sistémico, respondiendo a las necesidades de la sociedad y proyectando un perfil educativo integral.",Academico y Evaluacion
"La Universidad se compromete a formar profesionales con conciencia social, principios democráticos, y respeto por el medio ambiente, orientados al desarrollo social y científico.",Academico y Evaluacion
"El modelo académico incluye un enfoque socio-sistémico, integrando disciplinas y promoviendo la interrelación entre facultades y programas, organizándose en áreas de formación básica, general y profesional.",Academico y Evaluacion
"El Centro de Interacción Social, Investigación y Desarrollo (CISID) promueve la investigación y colaboración con instituciones locales e internacionales, fomentando la innovación y práctica en proyectos relevantes para la sociedad.",Academico y Evaluacion
"El Modelo Academico de 20o0 en la Universidad San Francisco Xavier es un enfoque integral y humanista, orientado a formar profesionales preparados para contribuir al desarrollo socioeconómico, con una base sólida de valores y un enfoque sistémico de enseñanza e investigación.",Academico y Evaluacion
"Este conjunto de reglamentos cubre diversas actividades, políticas y normas dentro de la Facultad de Ciencias y Tecnología de la Universidad. Incluye aspectos relacionados con actividades académicas, internacionalización, equipamiento e infraestructura, programas de posgrado, y objetivos institucionales.",Administracion y Gestion Institucional
"Conclusión del proceso de autoevaluación de la Carrera de Ingeniería Ambiental bajo los lineamientos del Comité Ejecutivo de la Universidad Boliviana (CEUB). Autoevaluación en progreso de todas las carreras de la facultad, con el objetivo de lograr la acreditación externa en el futuro.",Administracion y Gestion Institucional
"Colaboración con la Universidad de La Guajira de Colombia en actividades como el Coloquio Virtual Internacional de Ingeniería de Sistemas y proyectos de aulas virtuales. Participación en el Consejo Global de Decanos de Ingeniería de Latinoamérica (GEDC LATAM), abordando temas de adaptación y desafíos para la ingeniería en el contexto de la pandemia de Covid-19.",Administracion y Gestion Institucional
"La Facultad ha desarrollado cursos de formación continua para docentes y estudiantes, y ha lanzado programas nacionales en Física, Redes de Datos y Seguridad Informática. En colaboración con la Facultad de Derecho, se está preparando un programa de Maestría en Derecho Informático.",Administracion y Gestion Institucional
"Este documento proporciona una visión integral de las actividades, normas, y objetivos de la Facultad de Ciencias y Tecnología. Subraya el compromiso con la calidad académica, la internacionalización, y el desarrollo de infraestructura para brindar una educación de excelencia y preparar a los estudiantes para enfrentar los desafíos actuales en ingeniería y tecnología.",Administracion y Gestion Institucional
"El objetivo de esta convocatoria es ofrecer becas a estudiantes de la Universidad San Francisco Xavier de Chuquisaca, con el propósito de apoyar el rendimiento académico, facilitar su profesionalización y brindar asistencia a aquellos con dificultades socioeconómicas.",Apoyo y Bienestar Estudiantil
"Las becas se otorgan a estudiantes regulares con los siguientes tipos de becas disponibles para 2024: Beca Socioeconómica, Beca Regional de Incentivo, Beca Excelencia Académica 'Estudio', Beca Investigación, Beca Interacción Social y Extensión Universitaria, Beca Auxiliares de Docencia, Beca Deporte, Beca Cultura, Beca Asistente de Laboratorio, Beca de Internado Área Salud, y Beca de Prácticas Clínicas.",Apoyo y Bienestar Estudiantil
"Cada modalidad de beca cuenta con requisitos específicos, como el formulario de registro, documentación académica, y comprobantes de situación socioeconómica. La postulación debe realizarse entre el 26 de febrero y el 5 de abril del 2024.",Apoyo y Bienestar Estudiantil
"La selección y verificación de requisitos serán realizados por comisiones específicas para cada tipo de beca, con criterios que consideran el mérito académico, situación económica y desempeño en actividades relacionadas con cada tipo de beca.",Apoyo y Bienestar Estudiantil
"Los estudiantes deben considerar varias inhabilitaciones, como no postular a más de una beca, no ser profesional titulado y no repetir asignaturas en exceso.",Apoyo y Bienestar Estudiantil
"Este reglamento regula la carrera del docente-investigador en la Universidad San Francisco Xavier, estableciendo las normas para la admisión, categorización, permanencia y promoción de los investigadores. Asegura la calidad en los procesos investigativos, fomenta la producción científica y promueve la investigación de alto impacto en beneficio de la comunidad académica y social.",Investigacion y Docencia
"Objeto y Ámbito de Aplicación: Define los procedimientos, derechos y obligaciones de los docentes-investigadores. Abarca todas las áreas de investigación dentro de la universidad, aplicándose a docentes y colaboradores en proyectos de investigación.",Investigacion y Docencia
"Fortalecimiento de la Comunidad Investigativa: Consolidar una comunidad de investigadores comprometidos con la innovación y el desarrollo científico. Relevancia Social: Enfocar la investigación en temas que aporten a la sociedad en ámbitos locales, nacionales e internacionales.",Investigacion y Docencia
"Los docentes-investigadores son profesionales altamente capacitados en su área de conocimiento, encargados de diseñar y ejecutar investigaciones con rigor científico y ético, además de contribuir a la formación de nuevos investigadores.",Investigacion y Docencia
"Responsabilidades del Docente-Investigador: Incluyen la enseñanza en grado y posgrado, desarrollo de proyectos, publicación en revistas de alto impacto, y asesoramiento en su campo de especialidad.",Investigacion y Docencia
"El Comité de Evaluación se encarga de supervisar el ingreso, permanencia y promoción de los docentes-investigadores. Evalúa su desempeño semestralmente y determina los ascensos de categoría.",Investigacion y Docencia
"Este reglamento regula el proceso de convocatoria, elección y funciones del Claustro Universitario en la Universidad San Francisco Xavier de Chuquisaca. Define los procedimientos para la elección de autoridades como Rector, Vicerrector, Decanos y Directores de Carrera, así como las atribuciones de la Comisión Electoral y los requisitos para los candidatos.",Investigacion y Docencia
La convocatoria al Claustro Universitario es realizada por el Rector en ejercicio para la elección de las autoridades universitarias y se hace pública al menos 100 días antes del término de los mandatos de las autoridades salientes.,Investigacion y Docencia
"El electorado incluye a los docentes ordinarios y estudiantes regulares. La participación en el proceso electoral es obligatoria para docentes y estudiantes, con sanciones para quienes no participen. Se prohíbe el uso de recursos universitarios para propaganda electoral.",Investigacion y Docencia
"Para postular a Rector o Vicerrector, se requiere ser boliviano de nacimiento, tener al menos 35 años, poseer un título de Maestría y contar con un mínimo de cinco años de experiencia en la docencia universitaria.",Investigacion y Docencia
"Las elecciones se realizan mediante voto directo y secreto, y los candidatos deben obtener al menos el 50% de los votos de ambos estamentos (docente y estudiantil) para ser elegidos en primera vuelta. En caso de empate, se procede a una segunda vuelta.",Investigacion y Docencia
"Este reglamento establece los principios éticos y normas de comportamiento que deben guiar la conducta de los miembros de la sociedad científica SCETIC. La investigación científica es fundamental en las universidades, ya que promueve el pensamiento lógico, la creatividad y contribuye al avance del conocimiento. Este código busca fomentar una convivencia saludable en la comunidad científica.",Conducta y Disciplina
Relación con el Medio Ambiente: Los miembros deben proteger la biodiversidad y minimizar el impacto ambiental de sus investigaciones.,Conducta y Disciplina
"Uso de Recursos: Los recursos económicos y materiales deben usarse eficientemente, evitando el uso personal sin justificación.",Conducta y Disciplina
Citación y Plagio: Respetar la propiedad intelectual y evitar tanto el plagio como el autoplagio. Esto es fundamental para mantener la integridad científica y fomentar un ambiente de respeto hacia el trabajo de los demás.,Conducta y Disciplina
"Igualdad y Comunicación: Todos los socios son iguales en derechos y deberes dentro de la sociedad. Se debe mantener la transparencia y respeto en las opiniones dentro de la comunidad científica, promoviendo un ambiente de colaboración y respeto mutuo.",Conducta y Disciplina
"El reglamento define tres tipos de faltas, con diferentes sanciones: Faltas Leves (llamado de atención y registro de la falta), Faltas Regulares (llamado de atención y suspensión de privilegios), y Faltas Graves (expulsión de la sociedad científica).",Conducta y Disciplina
"Acciones sancionables incluyen insultos, intimidación, amenazas, xenofobia, racismo, violencia de género, acoso sexual, violencia física, corrupción y malversación de fondos. Las faltas graves conllevan sanciones estrictas, incluyendo la expulsión de la sociedad.",Conducta y Disciplina
"Este reglamento establece las normas para los viajes de estudio organizados por la Universidad San Francisco Xavier, con el objetivo de promover la formación práctica y el conocimiento en terreno para complementar el aprendizaje académico de los estudiantes.",Academico y Evaluacion
"Los viajes de estudio son una herramienta pedagógica para que los estudiantes puedan aplicar sus conocimientos en entornos reales, fortalecer sus habilidades prácticas y ampliar su comprensión de los temas abordados en clase.",Academico y Evaluacion
"Para participar en un viaje de estudios, los estudiantes deben cumplir con los requisitos académicos establecidos, incluyendo el rendimiento académico mínimo, la asistencia a clases y la aprobación de las materias relacionadas con el viaje.",Academico y Evaluacion
"La organización de los viajes de estudio está a cargo de los docentes responsables, quienes deben presentar un plan de actividades detallado, justificando el objetivo educativo del viaje y garantizando la seguridad de los estudiantes participantes.",Academico y Evaluacion
El reglamento establece que los viajes de estudio deben ser autorizados previamente por las autoridades académicas y estar alineados con los objetivos de formación de la universidad.,Academico y Evaluacion
"Este reglamento define los derechos, deberes y procedimientos que regulan la vida académica de los estudiantes universitarios. Incluye disposiciones sobre admisión, permanencia, evaluación y graduación, buscando garantizar un proceso educativo riguroso y justo para todos los estudiantes de la Universidad Boliviana.",Conducta y Disciplina
"El reglamento abarca los derechos y obligaciones de los estudiantes universitarios, normando aspectos de admisión, régimen académico, permanencia y graduación. Establece que todos los estudiantes deben conocer y respetar las normas del Estatuto Orgánico y este reglamento.",Conducta y Disciplina
"Derechos: Recibir enseñanza de calidad, ser evaluado objetivamente, participar en la vida universitaria, y recibir apoyo académico y asistencia social. Obligaciones: Conocer y cumplir con las normas universitarias, asistir a clases y cumplir con las evaluaciones, mantener un comportamiento respetuoso y participar activamente en el aprendizaje.",Conducta y Disciplina
"La evaluación es un proceso continuo y sistemático que incluye pruebas diagnósticas, formativas y sumativas para medir el progreso y rendimiento del estudiante en cada asignatura.",Conducta y Disciplina
"Los estudiantes tienen derecho a solicitar revisión de sus calificaciones si consideran que hubo un error en su evaluación, y se especifican procedimientos para modificar calificaciones en caso de errores administrativos.",Conducta y Disciplina
"Este reglamento proporciona un marco que garantiza la justicia y calidad en el proceso de formación universitaria, estableciendo procedimientos claros para admisión, evaluación y graduación, buscando asegurar que los estudiantes cuenten con una educación de calidad, respetando sus derechos y fomentando el cumplimiento de sus deberes dentro del sistema universitario.",Conducta y Disciplina
"Este reglamento establece el marco normativo para organizar y gestionar la investigación, desarrollo e innovación dentro de la Universidad San Francisco Xavier. Define las estructuras de apoyo, los tipos de investigación, los mecanismos de financiamiento y los lineamientos éticos para la práctica investigativa en la universidad, promoviendo el desarrollo de una cultura científica que responda a las necesidades de la sociedad.",Investigacion y Docencia
"La investigación es una actividad esencial y obligatoria para todas las carreras universitarias, vinculada al desarrollo de la región y del país. Se apoya en documentos como la Constitución Política del Estado y el Estatuto Orgánico de la universidad.",Investigacion y Docencia
"El Consejo de Investigacion es la máxima autoridad en investigación, responsable de aprobar y gestionar las líneas de investigación. El Departamento de Investigacion, Ciencia y Tecnología (DICyT) administra políticas y fondos de investigación, además de coordinar la transferencia de resultados.",Investigacion y Docencia
"Los niveles de investigación incluyen desde la investigación formativa hasta la posgradual, abordando la investigación básica, aplicada y empírica para cubrir tanto el conocimiento teórico como las necesidades prácticas.",Investigacion y Docencia
"La universidad cuenta con financiamiento propio y colabora con instituciones externas para el desarrollo de proyectos. El DICyT administra estos recursos, apoyando tanto proyectos pequeños como investigaciones de gran envergadura.",Investigacion y Docencia
"El Comité de Ética protege los derechos de los participantes en investigaciones, asegurando el respeto a las normas éticas en todas las etapas del proceso investigativo.",Investigacion y Docencia
"Este reglamento establece las normas disciplinarias para el personal administrativo de la Universidad San Francisco Xavier de Chuquisaca. Define las faltas, sanciones, y procedimientos a seguir en casos de incumplimiento, buscando garantizar la integridad de los procesos administrativos y el cumplimiento de las responsabilidades laborales.",Conducta y Disciplina
"Este reglamento es de aplicación obligatoria en todas las unidades académicas y administrativas de la universidad. Establece los procedimientos de revisión y actualización anuales, y la responsabilidad de las autoridades en su cumplimiento.",Conducta y Disciplina
"Amonestación: Puede ser verbal o escrita y se aplica en casos de faltas leves, como el uso indebido de materiales o retrasos en el trabajo. Multas: Implican descuentos en el salario del trabajador en función de la gravedad de la falta. Suspensión: Se aplica en casos de faltas reincidentes o graves, afectando el total ganado por un periodo específico.",Conducta y Disciplina
"Clasificación de las Faltas: Faltas Leves incluyen retrasos, uso de teléfonos para asuntos personales, y uso de materiales de la institución con fines ajenos. Faltas Graves incluyen la reincidencia en faltas leves, el incumplimiento de órdenes superiores, y el deterioro o pérdida de equipos.",Conducta y Disciplina
Registro de Asistencia: Los funcionarios deben registrar su ingreso y salida; el incumplimiento resulta en sanciones que van desde descuentos hasta procesos disciplinarios.,Conducta y Disciplina
"Procedimientos para la Aplicación de Sanciones: Las sanciones deben estar respaldadas por un informe escrito, analizado y aprobado por las autoridades competentes. Justificaciones: El funcionario puede presentar justificaciones por escrito, las cuales serán evaluadas antes de aplicar descuentos o sanciones.",Conducta y Disciplina
"Conclusión: Este reglamento garantiza la disciplina y responsabilidad del personal administrativo en la universidad, estableciendo un sistema de sanciones claras y proporcionales a las faltas. Su aplicación busca mantener un ambiente laboral ordenado y eficiente, en beneficio de la operatividad institucional.",Conducta y Disciplina
"Este reglamento establece las normas y procedimientos para la estructuración, diseño y organización de la administración en la Universidad San Francisco Xavier. Su objetivo es optimizar la estructura organizacional para asegurar una gestión eficiente y alineada con los objetivos institucionales y las demandas cambiantes del entorno.",Administracion y Gestion Institucional
Concepto del Sistema: Define al sistema como un conjunto de normas y metodologías basado en el Estatuto Orgánico y el Plan Estratégico Institucional.,Administracion y Gestion Institucional
Análisis Organizacional: Se revisa anualmente la estructura actual para evaluar su efectividad y eficiencia en el logro de los objetivos. Las áreas funcionales y el Departamento de Planificación evalúan la calidad de los servicios y la agilidad de respuesta de la organización frente a cambios.,Administracion y Gestion Institucional
"Proceso de Diseño Organizacional: Incluye la identificación de servicios, rediseño de procesos, y conformación de áreas y unidades organizacionales. Este diseño se documenta mediante manuales de organización y procesos, los cuales son aprobados por el Consejo Universitario.",Administracion y Gestion Institucional
"Este reglamento proporciona un marco normativo claro para organizar y optimizar la estructura administrativa de la Universidad, promoviendo eficiencia y adaptación mediante procesos de análisis, diseño y coordinación orientados a la calidad del servicio y la mejora continua.",Administracion y Gestion Institucional
"Este reglamento establece las normas para la formulación, ejecución, seguimiento y evaluación del Sistema de Programación de Operaciones (SPO) en la Universidad San Francisco Xavier. Su objetivo es garantizar la adecuada planificación y administración de los recursos y actividades de la universidad, alineándose con el Plan Estratégico Institucional y los presupuestos anuales.",Administracion y Gestion Institucional
"El reglamento asegura que el SPO funcione de manera organizada y efectiva dentro de todas las unidades académicas y administrativas, facilitando la toma de decisiones informadas y oportunas.",Administracion y Gestion Institucional
"El Subsistema de Formulación del Programa de Operaciones Anual (POA) define el proceso de análisis de situación, establecimiento de objetivos y asignación de recursos, siendo una guía detallada para el diseño de operaciones y presupuesto.",Administracion y Gestion Institucional
"El Subsistema de Seguimiento y Evaluación permite la supervisión trimestral de las actividades programadas en el POA, evaluando el progreso en el cumplimiento de los objetivos y el uso de recursos, con la posibilidad de ajustes cuando sea necesario.",Administracion y Gestion Institucional
"Este reglamento proporciona una base sólida para la gestión de la planificación operativa y presupuestaria de la universidad, promoviendo eficiencia y transparencia en todos los procesos administrativos y alineando las actividades universitarias con los objetivos estratégicos.",Administracion y Gestion Institucional
"Este reglamento establece las disposiciones para la Beca Estudio, una beca de excelencia académica otorgada a los mejores estudiantes de cada carrera en la Universidad San Francisco Xavier. Su objetivo es reconocer, estimular y apoyar a los estudiantes de alto rendimiento académico mediante un incentivo económico y otras distinciones.",Academico y Evaluacion
"La Beca Estudio regula el reconocimiento a estudiantes de excelencia académica, ofreciendo incentivos tanto académicos como económicos a aquellos que demuestran un desempeño sobresaliente en sus calificaciones.",Academico y Evaluacion
"Formas de Reconocimiento: Academico, con entrega de plaquetas y un anillo de oro al mejor alumno; Económico, con la asignación de la Beca Estudio a los cuatro estudiantes más destacados de cada carrera, sin evaluación socioeconómica.",Academico y Evaluacion
"Para optar a la Beca Estudio, el estudiante debe estar matriculado en la gestión vigente, ser alumno regular, aprobar el 100% de las asignaturas del periodo anterior y obtener un promedio mínimo de 65 puntos, sin haber reprobado materias.",Academico y Evaluacion
"Conclusión: El reglamento de la Beca Estudio incentiva y reconoce la excelencia académica en la Universidad San Francisco Xavier, proporcionando un marco justo para la selección y exclusión, asegurando que los estudiantes destacados reciban un apoyo adecuado.",Academico y Evaluacion
"Este reglamento establece las normas para la organización y gestión de actividades de Interacción Social (IS) y Extensión Universitaria (EU) en la Universidad San Francisco Xavier y otras universidades del sistema boliviano. Su objetivo es regular las actividades de vinculación con la sociedad, incluyendo la promoción cultural, educativa y técnica, y la asistencia social en beneficio de las comunidades locales y nacionales.",Administracion y Gestion Institucional
"Define la Interacción Social como una función clave que permite una relación recíproca entre la universidad y la sociedad, evaluando su pertinencia y calidad en el contexto institucional. La Extensión Universitaria promueve actividades científicas, culturales, deportivas y de desarrollo social, alineadas con los planes estratégicos de la universidad.",Administracion y Gestion Institucional
"Líneas de Acción en IS y EU: Comunicación y Difusión, Cultura y Deporte, Asesoramiento Técnico, Salud Comunitaria y Redes de Interacción para establecer colaboración con organismos externos y promover la participación y cooperación.",Administracion y Gestion Institucional
"El Comité de IS y EU es responsable de aprobar y supervisar las actividades de IS y EU en las diferentes unidades académicas, administrando los recursos asignados y promoviendo una metodología de evaluación para proyectos.",Administracion y Gestion Institucional
"Este reglamento proporciona una base normativa para que la universidad realice actividades de interacción social y extensión universitaria de manera organizada y efectiva, estableciendo un marco de financiación y gestión que permite el desarrollo continuo de programas que beneficien a la comunidad y promuevan el crecimiento académico y social.",Administracion y Gestion Institucional
Este reglamento establece los lineamientos y procedimientos para la graduación de estudiantes de las carreras de Licenciatura y Técnico Superior en la Facultad de Tecnología. Su objetivo es garantizar que los estudiantes cumplan con los requisitos académicos y administrativos necesarios para obtener sus títulos.,Academico y Evaluacion
"La Facultad de Tecnología otorga títulos de Licenciatura y Técnico Superior conforme a los planes de estudios de cada carrera, y las modalidades de graduación están alineadas con el Reglamento General del Sistema Universitario Boliviano.",Academico y Evaluacion
"Modalidades de Graduación: Para la Licenciatura, incluye Excelencia Académica, Tesis, Proyecto de Grado y Trabajo Dirigido. Para Técnico Superior, incluye Excelencia Académica, Pasantía y Monografía.",Academico y Evaluacion
"El trabajo de graduación debe incluir un resumen, introducción, desarrollo, conclusiones y bibliografía, siendo evaluado en tres etapas: perfil, defensa privada y defensa pública.",Academico y Evaluacion
"Este reglamento asegura la integridad y calidad del proceso de graduación en la Facultad de Tecnología, estableciendo lineamientos claros para la culminación de los estudios universitarios y garantizando que los egresados cumplan con altos estándares académicos.",Academico y Evaluacion
"Este reglamento define la estructura, derechos, obligaciones y procedimientos de la Sociedad Científica Estudiantil de Tecnologías de la Información y Comunicación. Establece las normas para la admisión, participación, disciplina y organización de los socios, con el objetivo de fomentar un ambiente de colaboración científica y mantener el orden y respeto dentro de la sociedad.",Administracion y Gestion Institucional
"Constitución y Organización: La sociedad se rige por sus Estatutos y este Reglamento Interno, y la Junta Directiva tiene autoridad para realizar cambios en el domicilio con la notificación adecuada a los socios y autoridades.",Administracion y Gestion Institucional
"Derechos y Deberes de los Socios: Los socios tienen derecho a participar en actividades, tener voz y voto en las Asambleas Generales, y acceso a la documentación interna. Deben cumplir con las normas, pagar las cuotas, y colaborar en actividades de la sociedad.",Administracion y Gestion Institucional
"Proceso Electoral: En las elecciones para cargos, se establece una Mesa Electoral y se definen los requisitos para los postulantes, incluyendo un mínimo de seis meses de membresía activa y la ausencia de sanciones vigentes.",Administracion y Gestion Institucional
"Conclusión: Este reglamento proporciona un marco de organización y disciplina para la Sociedad Científica Estudiantil, asegurando una administración justa y ordenada, y promoviendo un ambiente de respeto y cooperación científica.",Administracion y Gestion Institucional
"Este reglamento establece las normas para el uso adecuado, funcionamiento y conservación de las instalaciones deportivas de la Facultad de Tecnología en la Universidad San Francisco Xavier. El objetivo es asegurar que dichas instalaciones sean utilizadas de manera ordenada y responsable, protegiendo su infraestructura y promoviendo un ambiente seguro para las actividades deportivas.",Apoyo y Bienestar Estudiantil
"Ámbito de Aplicación: El reglamento es obligatorio para todos los estamentos universitarios y cualquier usuario de las instalaciones deportivas. Define las reglas para el uso y el cuidado de los campos deportivos, incluyendo normas de seguridad y procedimientos para su mantenimiento.",Apoyo y Bienestar Estudiantil
"Conducta Obligatoria: Los usuarios deben respetar el reglamento, mantener una conducta disciplinada y no realizar actividades no deportivas en el área. Está prohibido el consumo de alcohol y drogas, el ingreso de animales y vehículos, y la introducción de objetos peligrosos.",Apoyo y Bienestar Estudiantil
"Solicitudes de Uso: Cualquier persona que desee utilizar las instalaciones debe presentar una solicitud escrita al Decano con al menos tres días de anticipación. Además, se establece una escala de tarifas para la utilización de las instalaciones, aplicando descuentos para la comunidad universitaria.",Apoyo y Bienestar Estudiantil
"Conclusión: Este reglamento asegura un uso adecuado y ordenado de las instalaciones deportivas, promoviendo el respeto y la conservación de los espacios y recursos de la Facultad de Tecnología. Establece normas claras para los usuarios y sanciones en caso de incumplimiento, garantizando así un entorno seguro y organizado para las actividades deportivas.",Apoyo y Bienestar Estudiantil
"Este reglamento establece las normas para el Programa de Graduación de Antiguos Estudiantes No Graduados (PGAENG), dirigido a estudiantes de la Facultad de Tecnología que culminaron sus estudios sin obtener su título. Su objetivo es facilitar la titulación a través de modalidades de graduación específicas, adaptadas al perfil y experiencia laboral de los participantes.",Academico y Evaluacion
"El PGAENG permite a los antiguos estudiantes completar su titulación mediante el desarrollo de un trabajo académico enfocado en su experiencia profesional, incluyendo modalidades como Ensayo Profesional y Proyecto de Grado.",Academico y Evaluacion
"Proceso de Admisión: Los postulantes deben presentar documentos como certificados académicos, plan de estudios, certificado de nacimiento, currículum vitae documentado, y comprobantes de pago. Incluye fases como convocatoria, preinscripción y selección de modalidad de graduación.",Academico y Evaluacion
"Los tutores del programa deben contar con título profesional y experiencia en proyectos de grado, supervisando hasta tres estudiantes cada uno y orientándolos en la elaboración de su trabajo de graduación.",Academico y Evaluacion
"Este reglamento garantiza que los antiguos estudiantes puedan completar su titulación de manera estructurada y supervisada, utilizando su experiencia profesional y modalidades de graduación específicas que validan el conocimiento adquirido en el ámbito laboral.",Academico y Evaluacion
"Este reglamento regula el uso y distribución de los recursos provenientes del Impuesto Directo a los Hidrocarburos (IDH) en la Universidad Mayor, Real y Pontificia de San Francisco Xavier. Su objetivo es asegurar que estos fondos se empleen adecuadamente en proyectos de infraestructura y equipamiento que beneficien a la comunidad universitaria, de acuerdo con el Decreto Supremo 0961 y otras normativas relacionadas.",Apoyo y Bienestar Estudiantil
"Objetivo: Regular la administración y aplicación de los recursos del IDH destinados a proyectos de infraestructura y equipamiento en la universidad, con un enfoque en el bienestar estudiantil.",Apoyo y Bienestar Estudiantil
"Los recursos del IDH pueden destinarse hasta un 5% para infraestructura y equipamiento de albergues universitarios, guarderías infantiles, comedores universitarios, y complejos deportivos, con el objetivo de beneficiar exclusivamente a los estudiantes.",Apoyo y Bienestar Estudiantil
"Restricciones: El monto total anual de recursos no puede exceder el límite establecido por el Decreto Supremo 0961. La universidad no asume los gastos operativos posteriores de los proyectos aprobados, los cuales deben contar con un plan de sostenibilidad.",Apoyo y Bienestar Estudiantil
"Este reglamento proporciona un marco normativo para la administración de los recursos del IDH, asegurando que se utilicen en proyectos que beneficien directamente a los estudiantes. A través de procesos de formulación, supervisión y ejecución claros, el reglamento promueve la transparencia y sostenibilidad en la inversión de los recursos destinados a la mejora de infraestructura y servicios estudiantiles.",Apoyo y Bienestar Estudiantil
